ID,Product Category,Inspected Samples,Measurement Samples,Workmanship Samples,Number of Item type,Number of Styles,Total Time (H)
136,"Cardigans, Knits",125,0,1,30,4,3.581666667
137,Bra,50,0,0,10,1,3.705
138,Bra,125,0,2,30,2,2.746111111
139,"Cardigans, Knits",125,0,2,27,3,6.043055556
140,Outerwear,125,43,1,72,3,5.295555556
141,Knits,125,0,0,10,1,5.089166667
142,Outerwear,50,0,1,10,1,2.2275
143,T-shirt,125,0,0,50,9,3.2925
144,Knits,125,0,0,39,5,2.831388889
145,Cardigans,80,0,0,18,2,3.701666667
146,Pants,80,0,1,22,1,2.775555556
147,Knits,125,0,2,35,3,3.709444444
148,Pants,80,0,0,36,2,3.37
149,Crew,125,0,0,60,3,3.660833333
150,Blouses,50,0,0,12,2,2.368333333
151,Sweater,20,0,0,6,1,4.043333333
152,Knits,80,0,0,28,2,7.620833333
153,Knits,125,0,1,81,5,7.8075
154,Pullover,80,0,0,28,2,3.358611111
155,Outerwear,80,0,0,20,1,1.828333333
156,Woven,125,0,2,35,6,2.561666667
157,"Bra, Knits",125,0,0,100,4,6.590277778
158,T-shirt,125,0,0,40,1,4.062777778
159,Knits,125,0,0,36,4,2.7025
160,Tee,125,0,0,18,1,2.374166667
161,Cardigans,125,0,0,24,1,3.320555556
162,Blazer,80,0,0,15,2,2.065277778
163,"Tee, Legging",80,0,1,15,2,1.733611111
164,Pullover,125,0,1,58,4,5.5575
165,Swimwear,13,0,0,13,1,3.476388889
166,Legging,125,0,1,30,2,1.476666667
167,Skirt,125,0,1,22,2,4.454722222
168,Upbet,125,0,1,24,2,1.815277778
169,Tee,125,0,3,24,3,1.845277778
170,Sweater,20,0,0,6,1,1.561111111
171,Pullover,125,0,1,48,1,4.195833333
172,Tee,125,0,0,36,1,2.954444444
173,Itg,80,0,0,12,2,2.549444444
174,Cardigans,125,0,0,48,1,4.418055556
175,Bra,125,0,0,125,3,7.813611111
176,Swimwear,125,0,1,11,3,6.832222222
177,T-shirt,125,0,0,65,10,3.191388889
178,Blouses,125,0,2,48,8,4.016388889
179,Pants,125,0,0,40,1,2.799166667
180,Polo,80,0,1,24,1,3.201666667
181,Skirt,125,0,1,14,2,3.243888889
182,T-shirt,125,0,0,40,1,2.635555556
183,T-shirt,125,0,0,40,1,1.6275
184,Tee,80,0,0,6,1,1.679166667
185,Bg,50,0,0,10,1,2.572777778
186,Pants,125,0,1,10,1,1.623333333
187,Pants,125,0,1,9,1,0.910277778
188,Tee,125,0,0,54,2,2.294722222
189,WINTER BOOT,125,0,0,24,1,3.543055556
190,"Underwear, Bra",125,0,1,85,4,4.898888889
191,"Common Boots, Casual Shoes",80,0,0,34,3,1.31
192,Drapey,125,0,0,48,1,3.759444444
193,"Pullover, Sweater",50,0,0,30,3,6.217777778
194,Blouses,125,0,0,41,6,5.772777778
195,KIDS SHOES,80,0,0,14,2,1.326944444
196,Pants,125,0,0,66,4,3.261388889
197,Pullover,50,0,0,5,1,2.387222222
198,Knits,13,0,0,13,3,4.396944444
199,Swimwear,50,0,0,5,1,2.791111111
200,Pumps,125,0,14,67,4,3.538055556
201,Swimwear,125,0,0,11,3,2.608055556
202,Henley,125,0,0,39,3,6.152777778
203,"Cardigans, Pullover",125,0,1,60,6,8.457777778
204,Itb,80,0,0,36,6,3.000277778
205,Cardigans,32,0,0,12,1,5.433055556
206,Cardigans,50,0,0,30,1,5.4925
207,BOOT,80,0,0,11,1,0.286388889
208,"WINTER BOOT, FASHION BOOT",125,0,2,66,7,2.390555556
209,Boots,80,0,1,22,3,5.178333333
210,BOOTIE,32,0,0,10,1,2.993888889
211,Pullover,125,0,2,25,2,4.610277778
212,T-shirt,125,0,1,6,1,2.225277778
213,Itb,125,0,0,36,4,5.408888889
214,KIDS SHOES,50,0,3,14,2,1.424166667
215,Neck Tee,125,0,0,54,2,2.494722222
216,Pants,125,0,1,15,1,1.956666667
217,Tank,8,0,0,4,2,3.870833333
218,Cardigans,125,0,0,15,3,4.695277778
219,Pullover,125,0,1,12,1,3.695
220,Boots,125,0,4,66,6,4.268611111
221,Jacket,125,0,1,48,1,4.330833333
222,T-shirt,125,0,1,66,8,4.368611111
223,Pants,125,0,0,48,1,2.697222222
224,Blazer,125,0,1,15,2,2.088055556
225,Sweater,80,0,0,12,2,3.992222222
226,Swimwear,125,0,0,18,1,5.22
227,Pullover,125,0,0,20,3,4.775833333
228,"Boots, Casual Shoes",125,0,2,18,2,4.588611111
229,Casual Shoes,20,0,0,20,2,2.442777778
230,Outerwear,125,0,0,79,4,8.064444444
231,Pants,80,0,1,27,2,1.1025
232,Boots,125,0,2,111,11,5.089444444
233,T-shirt,50,0,0,20,1,4.2475
234,"Cardigans, Turtle",20,0,0,20,4,4.883611111
235,Casual Shoes,13,0,0,13,1,5.125
236,Boots,80,0,1,12,1,1.862777778
237,KIDS SHOES,50,0,0,7,1,5.099166667
238,"Boots, Casual Shoes",80,0,1,30,3,5.044722222
239,Formal Shoes,125,0,2,102,3,4.763888889
240,Tee,125,0,0,30,3,5.468888889
241,"Boots, Casual Shoes",125,0,1,38,2,1.708888889
242,Underwear,125,0,1,35,2,4.590277778
243,Henley,125,0,0,9,3,5.2325
244,Boots,125,0,1,88,9,6.966944444
245,T-shirt,125,0,0,40,1,2.972222222
246,Hoodie,125,0,2,24,2,1.4375
247,Tee,80,0,0,18,2,1.271111111
248,Hoodie,125,0,0,38,4,3.356944444
249,Pullover,32,0,0,32,2,3.845277778
250,Knit,125,0,0,60,1,4.205833333
251,Woven,125,0,1,12,2,0.203055556
252,Cardigans,125,0,0,6,1,5.570833333
253,Knit,80,0,1,60,1,1.878611111
254,Neck Tee,125,0,0,18,2,1.889722222
255,Sweater,125,0,1,60,1,2.587222222
256,Sweater,50,0,0,15,1,2.053055556
257,KIDS SHOES,50,0,1,7,1,1.874444444
258,"Cardigans, Pullover",125,0,0,17,2,4.781666667
259,Boots,8,0,0,8,1,2.610277778
260,Boots,125,0,1,84,8,5.366111111
261,Jumpsuit,80,0,1,12,1,1.0225
262,Pants,32,0,1,7,1,1.296111111
263,WINTER BOOT,125,0,19,19,2,0.281388889
264,Formal Shoes,125,0,15,56,3,2.516944444
265,Itb,125,0,0,36,4,4.376111111
266,Boots,125,0,0,24,2,4.743333333
267,Casual Shoes,13,0,0,13,1,2.534166667
268,Swimwear,32,0,1,10,2,1.265277778
269,KIDS SHOES,50,0,0,14,2,2.110833333
270,Legging,125,0,1,15,1,2.659166667
271,Boots,80,0,0,21,2,2.909166667
272,T-shirt,125,0,1,55,8,5.608333333
273,Boots,80,0,0,10,1,1.252777778
274,"Boots, FLAT BALLET",125,0,1,18,2,2.833888889
275,Pants,80,0,0,25,2,1.968055556
276,Dress,125,0,0,12,1,4.816666667
277,FLAT BALLET,80,0,0,30,1,2.4075
278,"Cardigans, Sweater",125,0,0,18,2,4.455
279,Knits,125,0,0,12,1,2.108055556
280,"Knits, Woven",125,0,0,24,4,5.765555556
281,FLAT BALLET,125,0,0,60,2,3.709444444
282,Legging,125,0,0,24,2,5.553888889
283,Bra,80,0,0,10,1,3.174722222
284,Formal Shoes,80,0,0,20,1,2.705
285,Boots,125,0,0,102,12,2.883888889
286,Boots,80,0,0,10,1,1.858055556
287,Cardigans,125,0,0,59,4,4.03
288,Woven,32,0,1,6,1,1.015833333
289,Pullover,80,0,0,5,1,7.345555556
290,Denim,50,0,0,50,4,2.521666667
291,Boots,80,0,0,8,1,1.231666667
292,Pullover,125,0,0,30,1,3.470833333
293,Tee,50,0,1,8,1,0.548888889
294,Boots,125,0,0,40,3,2.593888889
295,Boots,50,0,0,7,1,0.814722222
296,Woman,125,0,0,18,2,5.448333333
297,Tee,125,0,0,54,2,1.8775
298,"Boots, Casual Shoes",80,0,1,40,4,1.182777778
299,KIDS SHOES,50,0,0,14,2,1.200833333
300,Jacket,125,0,1,12,2,2.136111111
301,Thong,125,0,0,39,1,10.39166667
302,Cat&Jack,50,0,1,5,1,0.591666667
303,Sweater,80,0,0,5,1,1.173333333
304,Boots,125,0,0,110,12,2.524444444
305,Swimwear,8,0,0,5,1,1.902777778
306,Jacket,125,0,0,18,1,6.836388889
307,Tee,32,0,1,5,1,2.753333333
308,"Pullover, Cardigans",32,0,0,29,2,4.792777778
309,"Bralette, Bra",125,0,0,50,3,5.781666667
310,Swimwear,80,0,1,5,3,1.287777778
311,Boots,125,0,0,11,1,2.018888889
312,Denim,50,0,1,18,2,1.403888889
313,Formal Shoes,125,0,0,20,1,4.696666667
314,Jogger,32,0,0,5,1,1.965833333
315,Casual Shoes,50,0,0,10,1,0.840277778
316,FASHION BOOT,80,0,0,8,1,0.996666667
317,WINTER BOOT,80,0,0,12,1,4.387777778
